Course Number,Subject Id,Subject Id Sort,Subject Title,Master Subject Id,Offer Dept Name,Term Code
MAS,MAS.950,MAS.950,Prep For PhD Thesis,MAS.950,Prog in Media Arts Sciences,2013SP
MAS,MAS.S62,MAS.S62,Spec Subj in Media Technology,MAS.S62,Prog in Media Arts Sciences,2013SP
MAS,MAS.S65,MAS.S65,Spec Subj in Media Technology,MAS.S65,Prog in Media Arts Sciences,2013SP
MAS,MAS.S68,MAS.S68,Spec Subj in Media Technology,MAS.S68,Prog in Media Arts Sciences,2013SP
MAS,MAS.THG,MAS.THG,Graduate Thesis,MAS.THG,Prog in Media Arts Sciences,2013SP
MAS,MAS.URG,MAS.URG,Undergraduate Research,MAS.URG,Prog in Media Arts Sciences,2013SP
5,5.24,  5.24,Archaeological Science,3.985,Chemistry,2013SP
5,5.35,  5.35,Intro to Experimental Chem,5.35,Chemistry,2013SP
MAS,MAS.581,MAS.581,"Networks, Complexity App",MAS.581,Prog in Media Arts Sciences,2013SP
MAS,MAS.664,MAS.664,Digitial Innovations,MAS.664,Prog in Media Arts Sciences,2013SP
MAS,MAS.690,MAS.690,Independent Study in MAS,MAS.690,Prog in Media Arts Sciences,2013SP
MAS,MAS.712,MAS.712,Creative Learning Technologies,MAS.712,Prog in Media Arts Sciences,2013SP
MAS,MAS.731,MAS.731,The Society of Mind,6.868,Prog in Media Arts Sciences,2013SP
MAS,MAS.790,MAS.790,Independent Study in MAS,MAS.790,Prog in Media Arts Sciences,2013SP
MAS,MAS.862,MAS.862,Physics of Information Tech,MAS.862,Prog in Media Arts Sciences,2013SP
MAS,MAS.890,MAS.890,Independent Study in MAS,MAS.890,Prog in Media Arts Sciences,2013SP
MAS,MAS.912,MAS.912,Teaching in MAS,MAS.912,Prog in Media Arts Sciences,2013SP
HST,HST.010,HST.010,Human Functional Anatomy,HST.011,Health Sciences & Technology,2014FA
HST,HST.011,HST.011,Human Functional Anatomy,HST.011,Health Sciences & Technology,2014FA
HST,HST.040,HST.040,Microbial Pathogenesis,HST.041,Health Sciences & Technology,2014FA
HST,HST.041,HST.041,Microbial Pathogenesis,HST.041,Health Sciences & Technology,2014FA
HST,HST.071,HST.071,Human Reproductive Biology,HST.071,Health Sciences & Technology,2014FA
HST,HST.120,HST.120,Gastroenterology,HST.121,Health Sciences & Technology,2014FA
11,11.234, 11.234,Qualit Meth:Designrs & Plannrs,11.234,Urban Studies and Planning,2013SP
11,11.238, 11.238,Ethics of Intervention,21A.409,Urban Studies and Planning,2013SP
11,11.252, 11.252,Computer Games,11.127,Urban Studies and Planning,2013SP
15,15.037, 15.037,Energy Economics & Policy,14.44,Management,2013SP
16,16.201, 16.201,Topics: Materials & Structures,16.201,Aeronautics and Astronautics,2013SP
16,16.338, 16.338,Dynamic Systems and Control,6.241,Aeronautics and Astronautics,2013SP
HST,HST.130,HST.130,Neuroscience,HST.131,Health Sciences & Technology,2014FA
HST,HST.131,HST.131,Neuroscience,HST.131,Health Sciences & Technology,2014FA
HST,HST.140,HST.140,Molecular Medicine,HST.140,Health Sciences & Technology,2014FA
HST,HST.160,HST.160,Molecular Biology/Genetics,HST.161,Health Sciences & Technology,2014FA
HST,HST.196,HST.196,Teaching HST,HST.196,Health Sciences & Technology,2014FA
HST,HST.199,HST.199,Research in HST,HST.199,Health Sciences & Technology,2014FA
HST,HST.203,HST.203,Medical Engr & Medical Physics,HST.203,Health Sciences & Technology,2014FA
16,16.36, 16.36,Communication Sys & Networks,16.36,Aeronautics and Astronautics,2013SP
16,16.363, 16.363,Comm Sys & Networks,16.36,Aeronautics and Astronautics,2013SP
16,16.412, 16.412,Cognitive Robotics,16.412,Aeronautics and Astronautics,2013SP
20,20.URG, 20.URG,Undergrad Resrch Opportunities,20.URG,Biological Engineering,2013SP
20,20.URW, 20.URW,Undergrad Research Wellesley,20.URW,Biological Engineering,2013SP
21,21.UR, 21.UR,Undergraduate Research,21.UR,Humanities,2013SP
22,22.02, 22.02,Intro to Appl Nuclear Physics,22.02,Nuclear Engineering,2013SP
22,22.04, 22.04,Nuclear Power and Society,22.04,Nuclear Engineering,2013SP
21F,21F.351,21F.351,French I,21F.301,Global Studies & Languages,2013SP
21F,21F.352,21F.352,French II,21F.302,Global Studies & Languages,2013SP
21F,21F.403,21F.403,German III,21F.403,Global Studies & Languages,2013SP
21F,21F.406,21F.406,German:Communicatn Intensiv I,21F.406,Global Studies & Languages,2013SP
21F,21F.452,21F.452,German II,21F.402,Global Studies & Languages,2013SP
21W,21W.777,21W.777,The Science Essay,21W.777,Writing & Humanistic Studies,2013SP
21W,21W.789,21W.789,Communicating with Mobile Tech,21W.789,Writing & Humanistic Studies,2013SP
21W,21W.798,21W.798,Independent Study: Writing,21W.798,Writing & Humanistic Studies,2013SP
21W,21W.823,21W.823,Lab Experience Science Writers,21W.823,Writing & Humanistic Studies,2013SP
21W,21W.898,21W.898,Ind Study: Science Writing,21W.898,Writing & Humanistic Studies,2013SP
21W,21W.THG,21W.THG,Graduate Thesis,21W.THG,Writing & Humanistic Studies,2013SP
21W,21W.THT,21W.THT,Writing Pre-Thesis Tutorial,21W.THT,Writing & Humanistic Studies,2013SP
21W,21W.URG,21W.URG,Undergraduate Research,21W.URG,Writing & Humanistic Studies,2013SP
5,5.08,  5.08,Biological Chemistry II,5.08,Chemistry,2013SP
2,2.S997,  2.S997,Spec Subj: Mechanical Engr,2.S997,Mechanical Engineering,2013SP
6,6.01,  6.01,Intro to EECS I,6.01,Electrical Eng & Computer Sci,2013SP
2,2.URG,  2.URG,Undergraduate Research,2.URG,Mechanical Engineering,2013JA
15,15.S51, 15.S51,Special Seminar in Management,15.S51,Management,2013JA
6,6.S183,  6.S183,Special Lab Subject in EE & CS,6.S183,Electrical Eng & Computer Sci,2013JA
1,1.055,  1.055,Steel Bridge Competition,1.055,Civil and Environmental Eng,2013JA
14,14.389, 14.389,Econometrics Paper,14.389,Economics,2013JA
5,5.URN,  5.URN,Undergraduate Research,5.URN,Chemistry,2013SP
8,8.URN,  8.URN,Undergraduate Research,8.URN,Physics,2013SP
10,10.URN, 10.URN,Undergraduate Research,10.URN,Chemical Engineering,2013SP
6,6.011,  6.011,"Intro:Comm,Control,Signal Proc",6.011,Electrical Eng & Computer Sci,2013SP
6,6.024,  6.024,"Molec, Cell, & Tissue Biomechs",20.310,Electrical Eng & Computer Sci,2013SP
6,6.041,  6.041,Probabilistic Systems Analysis,6.041,Electrical Eng & Computer Sci,2013SP
6,6.042,  6.042,Math For Computer Science,6.042,Electrical Eng & Computer Sci,2013SP
6,6.152,  6.152,Micro/Nano Processing Tech,6.152,Electrical Eng & Computer Sci,2013SP
6,6.163,  6.163,Strobe Project Lab,6.163,Electrical Eng & Computer Sci,2013SP
5,5.62,  5.62,Physical Chemistry,5.62,Chemistry,2013SP
16,16.URN, 16.URN,Undergraduate Research,16.URN,Aeronautics and Astronautics,2013SP
5,5.68,  5.68,Kinetics of Chemical Reactions,5.68,Chemistry,2013SP
5,5.90,  5.90,Problems in Chemistry,5.90,Chemistry,2013SP
5,5.46,  5.46,NMR & Organic Structure Determ,5.46,Chemistry,2013SP
5,5.THG,  5.THG,Graduate Thesis,5.THG,Chemistry,2013SP
5,5.URG,  5.URG,Undergraduate Research,5.URG,Chemistry,2013SP
21F,21F.501,21F.501,Japanese I,21F.501,Foreign Languages/Literatures,2013JA
11,11.S956, 11.S956,Spec Sem Urban Studies & Plan,11.S956,Urban Studies and Planning,2013JA
8,8.UR,  8.UR,Undergraduate Research,8.UR,Physics,2013JA
21M,21M.THT,21M.THT,Mus or Thtr Prethesis Tutorial,21M.THT,Music and Theater Arts,2013JA
7,7.69,  7.69,Developmental Neurobiology,9.181,Biology,2013SP
7,7.76,  7.76,Topics in Protein Biochemistry,7.76,Biology,2013SP
7,7.80,  7.80,Biological Chemistry II,5.08,Biology,2013SP
11,11.152, 11.152,Ghetto: From Venice to Harlem,21H.385,Urban Studies and Planning,2013SP
11,11.190, 11.190,Urban Fieldwork,11.190,Urban Studies and Planning,2013SP
11,11.192, 11.192,Independent Study,11.192,Urban Studies and Planning,2013SP
11,11.194, 11.194,Supervised Readings,11.194,Urban Studies and Planning,2013SP
2,2.688,  2.688,Princ of Ocean Instrument Sys,2.688,Mechanical Engineering,2014FA
2,2.700,  2.700,Princ of Naval Architecture,2.700,Mechanical Engineering,2014FA
2,2.701,  2.701,Princ of Naval Architecture,2.700,Mechanical Engineering,2014FA
2,2.703,  2.703,Principles: Naval Ship Design,2.703,Mechanical Engineering,2014FA
2,2.705,  2.705,New Naval Ship Design,2.705,Mechanical Engineering,2014FA
2,2.750,  2.750,Medical Device Design,2.750,Mechanical Engineering,2014FA
2,2.772,  2.772,Thermodyncs of Biomolec Sys,20.110,Mechanical Engineering,2014FA
2,2.51,  2.51,Intermed Heat & Mass Transfer,2.51,Mechanical Engineering,2014FA
2,2.611,  2.611,Marine Power and Propulsion,2.612,Mechanical Engineering,2014FA
2,2.650,  2.650,Intro to Sustainable Energy,22.081,Mechanical Engineering,2014FA
2,2.672,  2.672,Project Laboratory,2.672,Mechanical Engineering,2014FA
2,2.673,  2.673,Instr & Msrmt for Biol Systems,20.309,Mechanical Engineering,2014FA
2,2.678,  2.678,Electronics for Mech Systems,2.678,Mechanical Engineering,2014FA
2,2.79,  2.79,Biomaterials: Tissue Interact,20.441,Mechanical Engineering,2014FA
2,2.794,  2.794,Cellular Biophysics,6.521,Mechanical Engineering,2014FA
2,2.795,  2.795,"Fields,Forces,Flows: Biol Sys",20.430,Mechanical Engineering,2014FA
2,2.799,  2.799,The Cell as a Machine,2.799,Mechanical Engineering,2014FA
6,6.007,  6.007,Electro Energy Motors to Laser,6.007,Electrical Eng & Computer Sci,2013SP
6,6.012,  6.012,Microelect Devices & Circuits,6.012,Electrical Eng & Computer Sci,2013SP
6,6.013,  6.013,Electromagnetics & Applctions,6.013,Electrical Eng & Computer Sci,2013SP
6,6.022,  6.022,Quant  Systems Physiology,6.022,Electrical Eng & Computer Sci,2013SP
6,6.023,  6.023,"Fields, Forces and Flows",20.330,Electrical Eng & Computer Sci,2013SP
6,6.046,  6.046,Design and Analysis Algorithms,6.046,Electrical Eng & Computer Sci,2013SP
6,6.049,  6.049,Evolutionary Biology,7.33,Electrical Eng & Computer Sci,2013SP
6,6.070,  6.070,Electronics Project Laboratory,6.070,Electrical Eng & Computer Sci,2013SP
6,6.071,  6.071,"Elec, Signals, Measurement",6.071,Electrical Eng & Computer Sci,2013SP
6,6.072,  6.072,Intro to Digital Electronics,EC.110,Electrical Eng & Computer Sci,2013SP
6,6.115,  6.115,Microcomputer Project Lab,6.115,Electrical Eng & Computer Sci,2013SP
6,6.170,  6.170,Software Studio,6.170,Electrical Eng & Computer Sci,2013SP
6,6.182,  6.182,Psychoacoustics Project Lab,6.182,Electrical Eng & Computer Sci,2013SP
6,6.033,  6.033,Computer System Engineering,6.033,Electrical Eng & Computer Sci,2013SP
6,6.035,  6.035,Computer Language Engineering,6.035,Electrical Eng & Computer Sci,2013SP
6,6.123,  6.123,Bioinstrumentation Project Lab,20.345,Electrical Eng & Computer Sci,2013SP
6,6.141,  6.141,Robotics: Sci and Sys I,6.141,Electrical Eng & Computer Sci,2013SP
6,6.169,  6.169,Applic of Circuits & Elctroncs,6.169,Electrical Eng & Computer Sci,2013SP
6,6.207,  6.207,Networks,14.15,Electrical Eng & Computer Sci,2013SP
6,6.241,  6.241,Dynamic Systems and Control,6.241,Electrical Eng & Computer Sci,2013SP
5,5.35U,  5.35U,Intro to Experimental Chem,5.35,Chemistry,2013SP
5,5.512,  5.512,Synthetic Organic Chemistry II,5.512,Chemistry,2013SP
5,5.561,  5.561,Chemistry in Industry,5.561,Chemistry,2013SP
5,5.60,  5.60,Thermodynamics and Kinetics,5.60,Chemistry,2013SP
5,5.74,  5.74,Intro Quantum Mechanics II,5.74,Chemistry,2013SP
5,5.80,  5.80,Adv Topics: Special Interest,5.80,Chemistry,2013SP
5,5.891,  5.891,Ugrad Ind Study in Chemistry,5.891,Chemistry,2013SP
5,5.892,  5.892,Ugrad Ind Study in Chemistry,5.892,Chemistry,2013SP
6,6.005,  6.005,Software Construction,6.005,Electrical Eng & Computer Sci,2013SP
6,6.006,  6.006,Intro to Algorithms,6.006,Electrical Eng & Computer Sci,2013SP
5,5.36,  5.36,Biochemistry & Organic Lab,5.36,Chemistry,2013SP
5,5.36U,  5.36U,Biochemistry & Organic Lab,5.36,Chemistry,2013SP
5,5.37,  5.37,Organic & Inorganic Laboratory,5.37,Chemistry,2013SP
5,5.37U,  5.37U,Organic & Inorganic Laboratory,5.37,Chemistry,2013SP
5,5.38,  5.38,Physical Chemistry Laboratory,5.38,Chemistry,2013SP
5,5.45,  5.45,Heterocyclic Chemistry,5.45,Chemistry,2013SP
5,5.48,  5.48,Protein Folding& Human Disease,7.88,Chemistry,2013SP
5,5.913,  5.913,Seminar in Organic Chemistry,5.913,Chemistry,2013SP
5,5.921,  5.921,Seminar: Biological Chemistry,5.921,Chemistry,2013SP
5,5.931,  5.931,Seminar: Physical Chemistry,5.931,Chemistry,2013SP
5,5.941,  5.941,Seminar: Inorganic Chemistry,5.941,Chemistry,2013SP
5,5.NIV,  5.NIV,Visiting Student Research,5.NIV,Chemistry,2013SP
5,5.THU,  5.THU,Undergraduate Thesis,5.THU,Chemistry,2013SP
5,5.UR,  5.UR,Undergraduate Research,5.UR,Chemistry,2013SP
5,5.URW,  5.URW,Undergrad Research Wellesley,5.URW,Chemistry,2013SP
6,6.00,  6.00,Intro: Comp Sci & Programming,6.00,Electrical Eng & Computer Sci,2013SP
6,6.002,  6.002,Circuits and Electronics,6.002,Electrical Eng & Computer Sci,2013SP
6,6.003,  6.003,Signals and Systems,6.003,Electrical Eng & Computer Sci,2013SP
6,6.004,  6.004,Computation Structures,6.004,Electrical Eng & Computer Sci,2013SP
6,6.262,  6.262,Discrete Stochastic Processes,6.262,Electrical Eng & Computer Sci,2013SP
6,6.334,  6.334,Power Electronics,6.334,Electrical Eng & Computer Sci,2013SP
6,6.335,  6.335,Fast Methods:Part Diff Eq,18.336,Electrical Eng & Computer Sci,2013SP
6,6.344,  6.344,Digital Image Processing,6.344,Electrical Eng & Computer Sci,2013SP
6,6.431,  6.431,Applied Probability,6.041,Electrical Eng & Computer Sci,2013SP
6,6.437,  6.437,Inference and Info,6.437,Electrical Eng & Computer Sci,2013SP
6,6.268,  6.268,Network Science and Models,6.268,Electrical Eng & Computer Sci,2013SP
6,6.302,  6.302,Feedback Systems,6.302,Electrical Eng & Computer Sci,2013SP
6,6.345,  6.345,Automatic Speech Recognition,6.345,Electrical Eng & Computer Sci,2013SP
6,6.375,  6.375,Complex Digital Systems Design,6.375,Electrical Eng & Computer Sci,2013SP
21L,21L.022,21L.022,Darwin and Design,21L.022,Literature,2014FA
21L,21L.315,21L.315,Prizewinners,21L.315,Literature,2014FA
ESD,ESD.270,ESD.270,Studies in Transportation,ESD.270,Engineering Systems Division,2014FA
ESD,ESD.341,ESD.341,Arch & Eng Software Sys,ESD.341,Engineering Systems Division,2014FA
ESD,ESD.355,ESD.355,Engineering of Software,16.355,Engineering Systems Division,2014FA
ESD,ESD.39,ESD.39,"Systems, Ldrshp, & Mgmt Lab",ESD.39,Engineering Systems Division,2014FA
ESD,ESD.69,ESD.69,Sem Healthcare Systems Innov,ESD.69,Engineering Systems Division,2014FA
10,10.995, 10.995,Cellular and Metabolic Engr,10.995,Chemical Engineering,2014FA
10,10.A13, 10.A13,Chemical Accidents,10.A13,Chemical Engineering,2014FA
10,10.EPE, 10.EPE,UPOP Engineer Practice Exp,2.EPE,Chemical Engineering,2014FA
6,6.012,  6.012,Microelect Devices & Circuits,6.012,Electrical Eng & Computer Sci,2014FA
6,6.013,  6.013,Electromagnetics & Applctions,6.013,Electrical Eng & Computer Sci,2014FA
6,6.021,  6.021,Cellular Biophysics,6.021,Electrical Eng & Computer Sci,2014FA
15,15.S04, 15.S04,Special Seminar in Management,15.S04,Management,2014FA
15,15.S10, 15.S10,Special Seminar in Management,15.S10,Management,2014FA
15,15.S13, 15.S13,Special Seminar in Management,15.S13,Management,2014FA
18,18.725, 18.725,Algebraic Geometry I,18.725,Mathematics,2014FA
18,18.782, 18.782,Intro to Arithmetic Geometry,18.782,Mathematics,2014FA
18,18.905, 18.905,Algebraic Topology I,18.905,Mathematics,2014FA
21A,21A.419,21A.419,People and Other Animals,21H.980,Anthropology,2014FA
6,6.025,  6.025,Medical Device Design,2.750,Electrical Eng & Computer Sci,2014FA
7,7.74,  7.74,Topics Biophyscs & Phys Bio,20.416,Biology,2014FA
7,7.933,  7.933,Research Rotations in Biology,7.933,Biology,2014FA
11,11.203, 11.203,Microeconomics,11.203,Urban Studies and Planning,2014FA
11,11.205, 11.205,Intro to Spatial Analysis,11.205,Urban Studies and Planning,2014FA
11,11.301, 11.301,Intro Urban Design & Devel,11.301,Urban Studies and Planning,2014FA
11,11.308, 11.308,Adv Sem: Urb Nat & City Design,11.308,Urban Studies and Planning,2014FA
11,11.309, 11.309,Photography as Inquiry,11.309,Urban Studies and Planning,2014FA
21A,21A.839,21A.839,Cross-Cultural Investigations,21A.801,Anthropology,2014FA
21A,21A.859,21A.859,Social Theory and Analysis,21A.859,Anthropology,2014FA
21A,21A.902,21A.902,Ind Study in Anthropology,21A.902,Anthropology,2014FA
21A,21A.949,21A.949,Graduate Independent Study,21A.949,Anthropology,2014FA
21A,21A.THU,21A.THU,Anthropology Thesis,21A.THU,Anthropology,2014FA
21A,21A.URG,21A.URG,Undergraduate Research,21A.URG,Anthropology,2014FA
21M,21M.293,21M.293,Music of Africa,21M.293,Music and Theater Arts,2014FA
14,14.URN, 14.URN,Undergraduate Research,14.URN,Economics,2014FA
15,15.010, 15.010,Econ Analysis: Bus Decisions,15.010,Management,2014FA
16,16.201, 16.201,Topics: Materials & Structures,16.201,Aeronautics and Astronautics,2014FA
16,16.31, 16.31,Feedback Control Systems,16.30,Aeronautics and Astronautics,2014FA
16,16.322, 16.322,Stochastic Estimation &Control,16.322,Aeronautics and Astronautics,2014FA
2,2.151,  2.151,Adv System Dynamics & Control,2.151,Mechanical Engineering,2014FA
2,2.154,  2.154,Maneuver & Control of Vehicles,2.154,Mechanical Engineering,2014FA
2,2.167,  2.167,Hands-On Marine Robotics,2.167,Mechanical Engineering,2014FA
4,4.635,  4.635,Renaissance Architecture,4.635,Architecture,2014FA
2,2.810,  2.810,Mfg Processes and Systems,2.810,Mechanical Engineering,2014FA
2,2.853,  2.853,Intro to Manufacturing Systems,2.853,Mechanical Engineering,2014FA
2,2.854,  2.854,Intro to Manufacturing Systems,2.853,Mechanical Engineering,2014FA
2,2.890,  2.890,Global Oper Ldrship Sem,15.792,Mechanical Engineering,2014FA
16,16.413, 16.413,Prin of Autonomy & Dec Making,16.410,Aeronautics and Astronautics,2014FA
20,20.363, 20.363,Biomaterials Science & Engr,3.055,Biological Engineering,2014FA
20,20.370, 20.370,Cellular Biophysics,6.021,Biological Engineering,2014FA
20,20.405, 20.405,Princples of Synthetic Biology,20.305,Biological Engineering,2014FA
20,20.409, 20.409,BEII: Instrumentation & Msrmt,20.309,Biological Engineering,2014FA
20,20.416, 20.416,Topics Biophyscs & Phys Bio,20.416,Biological Engineering,2014FA
20,20.420, 20.420,Biomolecular Kinetics&Cell Dyn,20.420,Biological Engineering,2014FA
20,20.430, 20.430,"Fields,Forces,Flows: Biol Sys",20.430,Biological Engineering,2014FA
HST,HST.030,HST.030,Human Pathology,HST.031,Health Sciences & Technology,2014FA
HST,HST.031,HST.031,Human Pathology,HST.031,Health Sciences & Technology,2014FA
HST,HST.121,HST.121,Gastroenterology,HST.121,Health Sciences & Technology,2014FA
2,2.689,  2.689,Projects in Ocean Engr,2.689,Mechanical Engineering,2014FA
2,2.723,  2.723,Engr Innovation and Design,ESD.051,Mechanical Engineering,2014FA
2,2.75,  2.75,Medical Device Design,2.750,Mechanical Engineering,2014FA
3,3.14,  3.14,Physical Metallurgy,3.14,Materials Science and Eng,2014FA
3,3.20,  3.20,Materials at Equilibrium,3.20,Materials Science and Eng,2014FA
3,3.23,  3.23,Properties of Materials,3.23,Materials Science and Eng,2014FA
4,4.331,  4.331,Intro to Participatory Media,4.330,Architecture,2014FA
4,4.355,  4.355,Intro to Video & Related Media,4.354,Architecture,2014FA
4,4.357,  4.357,Cinematic Migrations,4.357,Architecture,2014FA
4,4.361,  4.361,Performance Workshop,4.361,Architecture,2014FA
4,4.647,  4.647,"Technpolitcs, Cult, Intrvntion",4.647,Architecture,2014FA
2,2.785,  2.785,Cell-Matrix Mechanics,2.785,Mechanical Engineering,2014FA
2,2.791,  2.791,Cellular Biophysics,6.021,Mechanical Engineering,2014FA
2,2.96,  2.96,Management in Engineering,2.96,Mechanical Engineering,2014FA
2,2.A49,  2.A49,Radio Controlled Flying,2.A49,Mechanical Engineering,2014FA
2,2.EPE,  2.EPE,UPOP Engineer Practice Exp,2.EPE,Mechanical Engineering,2014FA
3,3.40,  3.40,Modern Physical Metallurgy,3.14,Materials Science and Eng,2014FA
3,3.57,  3.57,"Materials Selectn,Design,Econ",3.57,Materials Science and Eng,2014FA
3,3.60,  3.60,Properties of Materials,3.072,Materials Science and Eng,2014FA
3,3.692,  3.692,Teaching Matls Science & Engr,3.692,Materials Science and Eng,2014FA
3,3.941,  3.941,Statistical Mech of Polymers,10.668,Materials Science and Eng,2014FA
4,4.393,  4.393,Independent Study: ACT,4.393,Architecture,2014FA
4,4.42,  4.42,Fund of Energy in Buildings,4.42,Architecture,2014FA
21F,21F.407,21F.407,German:Communicatn Intensiv II,21F.407,Global Studies & Languages,2014FA
21F,21F.451,21F.451,German I,21F.401,Global Studies & Languages,2014FA
21F,21F.474,21F.474,German IV,21F.474,Global Studies & Languages,2014FA
21F,21F.501,21F.501,Japanese I,21F.501,Global Studies & Languages,2014FA
21F,21F.503,21F.503,Japanese III,21F.503,Global Studies & Languages,2014FA
HST,HST.508,HST.508,Quantitative Genomics,HST.508,Health Sciences & Technology,2014FA
HST,HST.516,HST.516,Circadian Biology,HST.516,Health Sciences & Technology,2014FA
HST,HST.522,HST.522,Biomaterials: Tissue Interact,20.441,Health Sciences & Technology,2014FA
HST,HST.523,HST.523,Cell-Matrix Mechanics,2.785,Health Sciences & Technology,2014FA
HST,HST.541,HST.541,Cellular Biophysics,6.521,Health Sciences & Technology,2014FA
4,4.447,  4.447,Design for Sustainability,1.819,Architecture,2014FA
2,2.S994,  2.S994,Spec Subj: Mechanical Engr,2.S994,Mechanical Engineering,2014FA
2,2.S997,  2.S997,Spec Subj: Mechanical Engr,2.S997,Mechanical Engineering,2014FA
2,2.S998,  2.S998,Spec Subj: Mechanical Engr,2.S998,Mechanical Engineering,2014FA
3,3.97,  3.97,Cell-Matrix Mechanics,2.785,Materials Science and Eng,2014FA
3,3.982,  3.982,Ancient Andean World,3.982,Materials Science and Eng,2014FA
3,3.A04,  3.A04,Mod Blacksmith &Phys Met,3.A04,Materials Science and Eng,2014FA
